nom,SIREN,type,code_departement,code_region
CC Val de Gray,200036549,CC,70,27
CC Val de l'Indre - Brenne,243600301,CC,36,24
CC Val de Ligne,240700617,CC,07,84
CC Val de Meuse - Voie Sacrée,200066165,CC,55,44
CC Val de Saône Centre,200070118,CC,01,84
CC Val ès Dunes,200065589,CC,14,28
CC Val Eyrieux,200041465,CC,07,84
CC Val Guiers,247300528,CC,73,84
CC Val Vanoise,200040798,CC,73,84
CC Val-de-Cher-Controis,200072064,CC,41,24
CC Vallée de l'Hérault,243400694,CC,34,76
CC Vallée de l'Ubaye - Serre-Ponçon,200072304,CC,04,93
CC Vallée de la Dordogne et Forêt Bessède,200041051,CC,24,75
CC Vallée des Baux-Alpilles (CC VBA),241300375,CC,13,93
CC Vallées de l'Orne et de l'Odon,200066728,CC,14,28
CC Vallées et Plateau d'Ardenne,200067759,CC,08,44
CC Vallons de Haute-Bretagne Communauté,200043990,CC,35,53
CC Vendée Grand Littoral,200071900,CC,85,52
"CC Vendée,Sèvre,Autise",248500563,CC,85,52
CC Ventoux Sud,200035723,CC,"26,84","84,93"
CC Vexin Centre,200035970,CC,95,11
CC Vézère-Monédières-Millesources,200066645,CC,19,75
CC Vienne et Gartempe,200070043,CC,86,75
CC Vierzon-Sologne-Berry,200090561,CC,18,24
CC Xaintrie Val'Dordogne,200066751,CC,19,75
CC Yonne Nord,248900896,CC,89,27
CC Yvetot Normandie,247600620,CC,76,28
Clermont Auvergne Métropole,246300701,MET,63,84
CU Angers Loire Métropole,244900015,CU,49,52
CU Caen la Mer,200065597,CU,14,28
CU d'Alençon,246100663,CU,"61,72","28,52"
CU d'Arras,200033579,CU,62,32
CU de Dunkerque,245900428,CU,59,32
CU du Grand Poitiers,200069854,CU,86,75
CU du Grand Reims,200067213,CU,51,44
CU Grand Besançon Métropole,242500361,CU,25,27
CU Grand Paris Seine et Oise,200059889,CU,78,11
CU Le Creusot Montceau-les-Mines,247100290,CU,71,27
CU Le Havre Seine Métropole,200084952,CU,76,28
CU Le Mans Métropole,247200132,CU,72,52
CU Limoges Métropole,248719312,CU,87,75
CU Perpignan Méditerranée Métropole,200027183,CU,66,76
Dijon Métropole,242100410,MET,21,27
Est Ensemble,200057875,EPT,93,11
Eurométropole de Strasbourg,246700488,MET,67,44
Grand Paris - Grand Est,200058790,EPT,93,11
Grand Paris Seine Ouest,200057974,EPT,92,11
Grand Paris Sud Est Avenir,200058006,EPT,94,11
Grand-Orly Seine Bièvre,200058014,EPT,94,11
Grenoble-Alpes-Métropole,200040715,MET,38,84
Métropole d'Aix-Marseille-Provence,200054807,MET,"13,83,84",93
Métropole de Lyon,200046977,MET,69,84
Métropole du Grand Nancy,245400676,MET,54,44
Métropole du Grand Paris,200054781,MET,"75,91,92,93,94,95",11
Métropole Européenne de Lille,200093201,MET,59,32
Métropole Européenne de Lille,200093201,MET,59,32
Métropole Européenne de Lille,200093201,MET,59,32
Métropole Nice Côte d'Azur,200030195,MET,06,93
Métropole Rouen Normandie,200023414,MET,76,28
Métropole Toulon-Provence-Méditerranée,248300543,MET,83,93
Metz Métropole,200039865,MET,57,44
Montpellier Méditerranée Métropole,243400017,MET,34,76
Nantes Métropole,244400404,MET,44,52
Orléans Métropole,244500468,MET,45,24
Paris Ouest La Défense,200057982,EPT,92,11
Paris Terres d'Envol,200058097,EPT,93,11
Paris-Est-Marne et Bois,200057941,EPT,94,11
Plaine Commune,200057867,EPT,93,11
Rennes Métropole,243500139,MET,35,53
Saint-Etienne Métropole,244200770,MET,42,84
Toulouse Métropole,243100518,MET,31,76
Tours Métropole Val de Loire,243700754,MET,37,24
Vallée Sud Grand Paris,200057966,EPT,92,11
